Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,8,3.0540020E-001,-5.3696628E-002,3.2657764E-018,2.1338782E-005,-4.6307329E-005,-2.3151005E-019,---,---,---,---,---,---,---,---,---
,,,,9,3.3131292E-001,-6.0532768E-002,5.7024375E-018,2.4566109E-005,-4.2735774E-005,-3.7308322E-019,---,---,---,---,---,---,---,---,---
,,,,10,3.5350956E-001,-6.7440654E-002,9.9193710E-018,2.9144194E-005,-3.3576749E-005,-6.6331794E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,3.5350956E-001,-6.5824565E-003,-6.8749324E-020,2.9144194E-005,-3.3576749E-005,-2.2810425E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,4.5332996E-002,-6.7440654E-002,-6.8749324E-020,1.7634204E-006,-6.1571505E-005,-2.2810425E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-1.0310555E-019,8.3337341E-018,-1.0314642E-002,-3.5594519E-020,3.1647778E-025,4.3716836E-005,---,---,---,---,---,---,---,---,---
,,,,2,-1.1760088E-019,1.7917166E-017,-2.0543433E-002,-4.0966425E-020,7.4570623E-025,8.6351818E-005,---,---,---,---,---,---,---,---,---
,,,,3,-1.7880075E-020,2.9417982E-017,-2.9331860E-002,-4.3800047E-020,1.3892191E-024,1.1273945E-004,---,---,---,---,---,---,---,---,---
,,,,4,2.4135102E-019,4.3625845E-017,-3.7989972E-002,-5.6145042E-020,3.0916271E-024,1.4839447E-004,---,---,---,---,---,---,---,---,---
,,,,5,7.2680718E-019,6.2053229E-017,-4.5416537E-002,-6.8140242E-020,6.2345689E-024,1.6065057E-004,---,---,---,---,---,---,---,---,---
